0.3000  297.217849345090
0.3250  238.233098166134
0.3500  190.751631541665
0.3750  152.306388526284
0.4000  121.052303799218
0.4250   95.584640501525
0.4500   74.817540344830
0.4750   57.900460566460
0.5000   44.159278826931
0.5250   33.053997192387
0.5500   24.147945029802
0.5750   17.085103759046
0.6000   11.573162775694
0.6250    7.370586729010
0.6500    4.276567524346
0.6750    2.123168153857
0.7000    0.769169086280
0.7250    0.095222323984
0.7500    0.000000000000
0.7750    0.397109101533
0.8000    1.212601888343
0.8250    2.382957445336
0.8500    3.853434783605
0.8750    5.576723067254
0.9000    7.511827344596
0.9250    9.623143787238
0.9500   11.879686786496
0.9750   14.254439355455
1.0000   16.723803807050
1.0250   19.267135639938
1.0500   21.866346513160
1.0750   24.505565202706
1.1000   27.170848005830
1.1250   29.849931063004
1.1500   32.532018008672
1.1750   35.207598871973
1.2000   37.868294203356
1.2250   40.506722042543
1.2500   43.116382770517
1.2750   45.691560778763
1.3000   48.227239253467
1.3250   50.719026003879
1.3500   53.163089644584
1.3750   55.556103809903
1.4000   57.895198396389
1.4250   60.177916829429
1.4500   62.402178914673
1.4750   64.566248082030
1.5000   66.668702143726
1.5250   68.708408319416
1.5500   70.684500269336
1.5750   72.596358892505
1.6000   74.443594066201
1.6250   76.226029522975
1.6500   77.943688229678
1.6750   79.596779962772
1.7000   81.185689573901
1.7250   82.710965569211
1.7500   84.173309818201
1.7750   85.573567262557
1.8000   86.912716064256
1.8250   88.191857063403
1.8500   89.412204365589
1.8750   90.575074297717
1.9000   91.681875430606
1.9250   92.734098036823
1.9500   93.733303611276
1.9750   94.681113827046
2.0000   95.579200620733
2.0250   96.429275524792
2.0500   97.233079564631
2.0750   97.992373532209
2.1000   98.708928761649
2.1250   99.384518030345
2.1500  100.020907464087
2.1750  100.619848818698
2.2000  101.183072263669
2.2250  101.712280295318
2.2500  102.209141775446
2.2750  102.675287099518
2.3000  103.112303992344
2.3250  103.521733554771
2.3500  103.905067628139
2.3750  104.263746409752
2.4000  104.599156444838
2.4250  104.912629559790
2.4500  105.205442171902
2.4750  105.478815038364
2.5000  105.733913068014
2.5250  105.971846199845
2.5500  106.193669905019
2.5750  106.400386379131
2.6000  106.592945671727
2.6250  106.772247192328
2.6500  106.939141404707
2.6750  107.094431458410
2.7000  107.238874757534
2.7250  107.373185031508
2.7500  107.498034280371
2.7750  107.614054406298
2.8000  107.721839033378
2.8250  107.821945766649
2.8500  107.914897509867
2.8750  108.001184661791
2.9000  108.081266433953
2.9250  108.155572795935
2.9500  108.224506169649
2.9750  108.288442558852
3.0000  108.347733682680
3.0250  108.402707665907
3.0500  108.453670858724
3.0750  108.500909154506
3.1000  108.544689182089
3.1250  108.585259247022
3.1500  108.622850649347
3.1750  108.657678938616
3.2000  108.689944353144
3.2250  108.719833514288
3.2500  108.747519740202
3.2750  108.773164049851
3.3000  108.796916229779
3.3250  108.818915210614
3.3500  108.839290071081
3.3750  108.858160540014
3.4000  108.875637686613
3.4250  108.891824547956
3.4500  108.906816693756
3.4750  108.920702728370
3.5000  108.933564604553
3.5250  108.945478439220
3.5500  108.956514701700
3.5750  108.966738590242
3.6000  108.976210596771
3.6250  108.984986820647
3.6500  108.993118968662
3.6750  109.000655045299
3.7000  109.007639666493
3.7250  109.014113934123
3.7500  109.020115938022
3.7750  109.025681006981
3.8000  109.030842022503
3.8250  109.035629180351
3.8500  109.040070661981
3.8750  109.044192471392
3.9000  109.048018742602
3.9250  109.051571965557
